City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,San Cristobal,VE,2022-02-09 07:50:12,7.7669,-72.225,64.09,92,99,1.79
103,Hua Hin,TH,2022-02-09 07:50:12,12.5707,99.9588,87.82,66,20,11.5
104,Victoria,HK,2022-02-09 07:45:54,22.2855,114.1577,67.17,82,99,11.01
105,Tautira,PF,2022-02-09 07:50:13,-17.7333,-149.15,82.0,80,38,19.62
106,Longyearbyen,SJ,2022-02-09 07:50:13,78.2186,15.6401,4.84,85,20,8.05
107,Netivot,IL,2022-02-09 07:50:14,31.4222,34.5886,66.6,45,0,18.45
108,Ponnani,IN,2022-02-09 07:50:14,10.767,75.9252,87.12,56,3,12.3
109,Narsaq,GL,2022-02-09 07:50:15,60.9167,-46.05,-4.34,67,90,10.87
110,Andenes,NO,2022-02-09 07:50:15,69.3143,16.1194,31.98,93,75,26.46
111,Galesong,ID,2022-02-09 07:50:15,-5.3166,119.3661,82.42,78,100,8.93
112,Thompson,CA,2022-02-09 07:45:31,55.7435,-97.8558,3.36,78,100,12.66
113,Tiarei,PF,2022-02-09 07:50:16,-17.5333,-149.3333,82.0,80,31,20.62
114,Pisco,PE,2022-02-09 07:50:17,-13.7,-76.2167,67.01,88,62,1.14
115,Funtua,NG,2022-02-09 07:50:17,11.5233,7.3081,68.95,9,100,14.72
116,Quesnel,CA,2022-02-09 07:50:17,52.9999,-122.5029,39.7,81,100,10.36
117,Carauari,BR,2022-02-09 07:50:18,-4.8828,-66.8958,71.8,99,100,1.41
118,Humaita,BR,2022-02-09 07:50:18,-7.5061,-63.0208,73.08,99,100,3.51
119,Conceicao Da Barra,BR,2022-02-09 07:50:19,-18.5933,-39.7322,74.16,96,85,4.41
120,Westport,US,2022-02-09 07:46:53,41.1415,-73.3579,31.8,79,0,6.91
121,Arklow,IE,2022-02-09 07:50:20,52.7931,-6.1414,43.48,83,49,10.51
122,Mar Del Plata,AR,2022-02-09 07:46:04,-38.0023,-57.5575,62.1,88,0,8.01
123,Timizart,DZ,2022-02-09 07:50:20,36.8,4.2667,49.96,66,0,4.41
124,Khani,GE,2022-02-09 07:50:21,41.9563,42.9566,44.17,93,89,6.13
125,Vestmanna,FO,2022-02-09 07:50:21,62.1564,-7.1664,36.52,70,75,31.07
126,Cidreira,BR,2022-02-09 07:50:22,-30.1811,-50.2056,65.98,85,41,2.33
127,Saskylakh,RU,2022-02-09 07:50:22,71.9167,114.0833,3.78,89,100,13.04
128,Broomall,US,2022-02-09 07:50:23,39.9815,-75.3566,28.99,67,0,1.99
129,Port-Gentil,GA,2022-02-09 07:50:23,-0.7193,8.7815,78.76,94,75,3.44
130,Bredasdorp,ZA,2022-02-09 07:48:54,-34.5322,20.0403,73.27,56,0,10.36
131,Talnakh,RU,2022-02-09 07:51:24,69.4865,88.3972,-2.79,95,100,12.28
132,Iqaluit,CA,2022-02-09 07:51:24,63.7506,-68.5145,-2.31,77,100,3.44
133,Saint George,US,2022-02-09 07:51:25,37.1041,-113.5841,48.79,25,0,3.0
134,Kitakata,JP,2022-02-09 07:51:25,37.65,139.8667,40.57,93,99,0.81
135,Krasnoselkup,RU,2022-02-09 07:51:25,65.7,82.4667,-5.98,86,84,11.05
136,Gamba,GA,2022-02-09 07:51:26,-2.65,10.0,79.2,86,99,3.6
137,Los Llanos De Aridane,ES,2022-02-09 07:51:26,28.6585,-17.9182,65.95,37,0,9.22
138,Lorengau,PG,2022-02-09 07:51:27,-2.0226,147.2712,82.92,78,70,5.99
139,Port Lincoln,AU,2022-02-09 07:51:27,-34.7333,135.8667,66.81,60,18,14.67
140,Verkhoyansk,RU,2022-02-09 07:51:28,67.5447,133.385,-40.2,100,54,1.36
141,Chuy,UY,2022-02-09 07:51:28,-33.6971,-53.4616,61.45,76,0,2.19
142,Jieshi,CN,2022-02-09 07:51:28,22.8134,115.8257,66.94,76,78,14.32
143,Torrington,US,2022-02-09 07:51:29,41.8007,-73.1212,29.14,75,10,1.99
144,Santiago De Cao,PE,2022-02-09 07:51:29,-7.9589,-79.2392,69.89,81,100,7.96
145,Butaritari,KI,2022-02-09 07:51:30,3.0707,172.7902,81.72,78,26,15.43
146,Labytnangi,RU,2022-02-09 07:51:30,66.6572,66.4183,-6.56,97,95,7.96
147,Cullinan,ZA,2022-02-09 07:51:31,-25.6709,28.5236,75.72,43,21,3.8
148,Kutum,SD,2022-02-09 07:51:31,14.2,24.6667,67.46,12,0,6.26
149,Sola,VU,2022-02-09 07:51:31,-13.8833,167.55,81.86,81,100,26.62
150,Fomboni,KM,2022-02-09 07:51:32,-12.28,43.7425,82.76,72,100,10.09
151,Caravelas,BR,2022-02-09 07:51:32,-17.7125,-39.2481,73.76,97,32,3.71
152,Faanui,PF,2022-02-09 07:51:33,-16.4833,-151.75,81.68,77,12,16.69
153,Mahajanga,MG,2022-02-09 07:51:33,-15.7167,46.3167,86.02,74,40,3.44
154,Ponta Delgada,PT,2022-02-09 07:51:33,37.7333,-25.6667,58.5,88,20,10.36
155,Makinsk,KZ,2022-02-09 07:51:34,52.6292,70.4169,17.29,91,48,6.11
156,Ancud,CL,2022-02-09 07:51:35,-41.8697,-73.8203,55.22,75,32,3.76
157,Havoysund,NO,2022-02-09 07:51:35,70.9963,24.6622,25.68,78,100,13.49
158,Tasiilaq,GL,2022-02-09 07:51:35,65.6145,-37.6368,5.0,76,100,9.64
159,Turi,IT,2022-02-09 07:51:36,40.9173,17.0212,52.45,48,0,10.36
160,Avarua,CK,2022-02-09 07:51:36,-21.2078,-159.775,75.25,94,100,2.3
161,Bambous Virieux,MU,2022-02-09 07:51:37,-20.3428,57.7575,85.21,65,40,8.05
162,Pereslavl-Zalesskiy,RU,2022-02-09 07:51:37,56.7393,38.8563,23.04,96,96,5.19
163,Waingapu,ID,2022-02-09 07:51:38,-9.6567,120.2641,82.96,76,100,1.23
164,Maningrida,AU,2022-02-09 07:51:38,-12.0667,134.2667,84.61,72,99,9.48
165,Clyde River,CA,2022-02-09 07:51:38,70.4692,-68.5914,-27.17,75,100,13.8
